timestamp,avgEAR,is_closed,closed_frames,blnk_count,blink_rate_per_min,average_blink_duration,fatigue_flag
1765738942.61,0.258,0,0,0,0,0,1
1765738943.62,0.247,0,0,4,38.17,0.084,0
1765738944.73,0.268,0,0,4,32.42,0.084,0
1765738945.79,0.273,0,0,4,28.37,0.084,0
1765738946.8,0.212,1,1,7,44.34,0.077,1
1765738947.87,0.215,0,0,12,68.3,0.101,1
1765738948.89,0.302,0,0,12,62.27,0.101,1
1765738949.94,0.266,0,0,12,57.11,0.101,1
1765738950.95,0.219,1,1,12,52.88,0.101,1
1765738951.96,0.252,0,0,13,53.34,0.095,1
1765738952.97,0.208,0,0,13,49.87,0.095,1
1765738953.99,0.191,0,0,13,46.81,0.095,1
1765738955.01,0.238,0,0,16,54.28,0.122,1
1765738956.01,0.284,0,0,18,57.8,0.114,1
1765738957.03,0.238,0,0,19,57.85,0.111,1
1765738958.08,0.227,0,0,20,57.85,0.107,1
1765738959.09,0.257,0,0,20,55.14,0.107,1
1765738960.1,0.275,0,0,20,52.7,0.107,1
1765738961.15,0.281,0,0,20,50.38,0.107,1
1765738962.16,0.245,0,0,20,48.35,0.107,1
1765738963.17,0.15,1,1,22,51.09,0.115,1
1765738964.18,0.236,0,0,24,53.65,0.116,1
1765738965.22,0.238,0,0,24,51.63,0.116,1
1765738966.22,0.238,0,0,24,49.84,0.116,1
1765738967.23,0.215,1,1,24,48.16,0.116,1
1765738968.24,0.273,0,0,26,50.47,0.117,1
1765738969.25,0.192,0,0,28,52.64,0.113,1
1765738970.25,0.177,1,5,30,54.67,0.108,1
1765738971.3,0.319,0,0,33,58.29,0.111,1
1765738972.31,0.319,0,0,33,56.62,0.111,1
1765738973.37,0.278,0,0,36,59.95,0.115,1
1765738974.37,0.269,0,0,36,58.31,0.115,1
1765738975.38,0.251,0,0,40,63.07,0.109,1
1765738976.39,0.196,0,0,41,62.98,0.109,1
1765738977.4,0.194,0,0,46,68.88,0.103,1
1765738978.43,0.173,0,0,46,67.15,0.103,1
1765738979.44,0.257,0,0,46,65.54,0.103,1
1765738980.45,0.233,0,0,46,64.01,0.103,1
1765738981.46,0.251,0,0,46,62.54,0.103,1
1765738982.46,0.238,0,0,46,61.15,0.103,1
1765738983.53,0.214,0,0,46,59.74,0.103,1
1765738984.53,0.239,0,0,46,58.47,0.103,1
1765738985.55,0.218,0,0,46,57.25,0.103,1
1765738986.58,0.234,0,0,46,56.04,0.103,1
1765738987.6,0.255,0,0,46,54.91,0.103,1
1765738988.6,0.259,0,0,46,53.83,0.103,1
1765738989.63,0.257,0,0,46,52.77,0.103,1
1765738990.66,0.262,0,0,48,54.01,0.103,1
1765738991.66,0.235,0,0,54,59.64,0.102,1
1765738992.68,0.248,0,0,58,62.88,0.1,1
1765738993.73,0.266,0,0,58,61.7,0.1,1
1765738994.73,0.207,1,1,59,61.67,0.098,1
1765738995.79,0.165,1,11,62,63.63,0.099,1
1765738996.8,0.305,0,0,63,63.57,0.104,1
1765738997.81,0.287,0,0,65,64.48,0.105,1
1765738998.83,0.284,0,0,65,63.41,0.105,1
1765738999.84,0.253,0,0,66,63.34,0.107,1
1765739000.86,0.049,1,1,67,63.28,0.109,1
1765739001.88,0.291,0,0,68,63.21,0.111,1
1765739002.89,0.223,0,0,69,63.16,0.11,1
1765739003.89,0.232,0,0,69,62.2,0.11,1
1765739004.89,0.248,0,0,71,63.05,0.111,1
1765739005.94,0.226,0,0,72,62.97,0.111,1
1765739006.94,0.26,0,0,72,62.06,0.111,1
1765739007.97,0.246,0,0,72,61.17,0.111,1
1765739009.03,0.264,0,0,74,61.93,0.112,1
1765739010.04,0.194,1,26,74,61.07,0.112,1
1765739011.05,0.23,0,0,80,65.11,0.12,1
1765739012.09,0.169,0,0,82,65.81,0.12,1
1765739013.09,0.24,0,0,82,64.94,0.12,1
1765739014.1,0.257,0,0,82,64.09,0.12,1
1765739015.11,0.235,0,0,82,63.26,0.12,1
1765739016.11,0.162,0,0,84,63.97,0.121,1
1765739017.15,0.167,0,0,84,63.14,0.121,1
1765739018.17,0.192,0,0,84,62.35,0.121,1
1765739019.19,0.204,0,0,84,61.58,0.121,1
1765739020.24,0.207,0,0,84,60.8,0.121,1
1765739021.24,0.162,0,0,84,60.06,0.121,1
1765739022.31,0.238,0,0,84,59.31,0.121,1
1765739023.35,0.198,0,0,84,58.59,0.121,1
1765739024.38,0.152,0,0,84,57.9,0.121,1
1765739025.39,0.148,0,0,84,57.23,0.121,1
1765739026.44,0.231,0,0,84,56.56,0.121,1
1765739027.44,0.258,0,0,86,57.26,0.121,1
1765739028.44,0.258,0,0,86,56.63,0.121,1
1765739029.45,0.265,0,0,90,58.62,0.117,1
1765739030.45,0.257,0,0,90,57.99,0.117,1
1765739031.5,0.248,0,0,90,57.34,0.117,1
1765739032.51,0.245,0,0,90,56.73,0.117,1
1765739033.52,0.258,0,0,90,56.14,0.117,1
1765739034.53,0.242,0,0,90,55.56,0.117,1
1765739035.54,0.258,0,0,90,54.98,0.117,1
1765739036.58,0.27,0,0,90,54.41,0.117,1
1765739037.61,0.232,0,0,90,53.85,0.117,1
1765739038.61,0.234,0,0,90,53.32,0.117,1
1765739039.65,0.254,0,0,90,52.78,0.117,1
1765739040.66,0.274,0,0,90,52.26,0.117,1
1765739041.66,0.214,1,1,92,52.91,0.116,1
1765739050.6,0.215,0,0,0,0,0,1
1765739051.64,0.271,0,0,0,0,0,1
1765739052.68,0.27,0,0,0,0.0,0,1
1765739053.7,0.284,0,0,0,0.0,0,1
1765739054.73,0.287,0,0,0,0.0,0,1
1765739055.77,0.202,1,4,0,0.0,0,1
1765739056.77,0.257,0,0,3,19.05,0.141,0
1765739057.84,0.24,0,0,5,28.52,0.154,0
1765739058.9,0.246,0,0,7,36.31,0.122,0
1765739059.92,0.277,0,0,7,33.36,0.122,0
1765739060.98,0.268,0,0,7,30.75,0.122,0
1765739062.03,0.244,0,0,7,28.55,0.122,0
1765739063.04,0.279,0,0,7,26.71,0.122,0
1765739064.05,0.26,0,0,7,25.1,0.122,0
1765739065.11,0.233,0,0,8,26.98,0.108,0
1765739066.12,0.24,0,0,8,25.54,0.108,0
1765739067.13,0.237,0,0,9,27.26,0.104,0
1765739068.18,0.248,0,0,9,25.89,0.104,0
1765739069.18,0.273,0,0,10,27.45,0.102,0
1765739070.19,0.268,0,0,10,26.24,0.102,0
1765739071.19,0.237,0,0,11,27.65,0.128,0
1765739072.2,0.195,1,12,11,26.53,0.128,0
1765739073.21,0.187,1,9,12,27.82,0.157,0
1765739074.21,0.167,1,39,12,26.78,0.157,0
1765739075.26,0.197,1,70,12,25.77,0.157,1
1765739076.28,0.257,0,0,14,29.01,0.338,0
1765739077.28,0.257,0,0,16,32.05,0.314,0
1765739078.32,0.245,0,0,17,32.91,0.319,0
1765739079.33,0.323,0,0,17,31.86,0.319,0
1765739080.34,0.258,0,0,18,32.72,0.309,0
1765739081.34,0.25,0,0,20,35.28,0.29,0
1765739082.35,0.265,0,0,21,35.97,0.286,0
1765739083.35,0.097,1,19,21,34.98,0.286,0
1765739084.36,0.167,0,0,22,35.64,0.346,0
1765739085.37,0.217,1,2,28,44.16,0.288,1
1765739086.4,0.236,0,0,33,50.67,0.261,1
1765739087.42,0.275,0,0,36,53.87,0.245,1
1765739088.5,0.266,0,0,36,52.46,0.245,1
1765739089.55,0.252,0,0,37,52.59,0.24,1
1765739090.56,0.252,0,0,37,51.34,0.24,1
1765739091.58,0.273,0,0,37,50.16,0.24,1
1765739092.61,0.238,0,0,38,50.34,0.237,1
1765739093.62,0.275,0,0,38,49.25,0.237,1
1765739094.63,0.094,0,0,38,48.2,0.237,1
1765739095.64,0.211,1,1,43,53.4,0.219,1
1765739096.69,0.232,0,0,52,63.2,0.192,1
1765739097.7,0.245,0,0,54,64.31,0.189,1
1765739098.71,0.204,1,22,54,63.05,0.189,1
1765739099.71,0.214,1,2,55,62.99,0.202,1
1765739100.75,0.098,1,1,57,64.01,0.201,1
1765739101.76,0.269,0,0,58,63.93,0.2,1
1765739102.77,0.253,0,0,58,62.77,0.2,1
1765739103.78,0.203,1,4,58,61.65,0.2,1
1765739104.79,0.216,1,1,63,65.78,0.193,1
1765739105.83,0.224,0,0,69,70.76,0.183,1
